no,title,link
0, 여름 대작 피했더니 9월에 6편 몰린 한국영화… ‘공멸’ 잔혹사 끊을까 [영화 뷰] ,http://v.daum.net/v/20260812082840601
1, ‘힛트쏭’ 영화 OST 명곡 공개 ,http://v.daum.net/v/20260814075441897
2," 김동호 전 이사장, BIFF ‘2026 한국영화공로상’ 수상 ",http://v.daum.net/v/20260814091452100
3, 236만명 홀린 '오디세이'…영화 끝나도 관객 못 일어난 이유 ,http://v.daum.net/v/20260814080209118
4, 부산국제영화제 산파 김동호 '한국영화공로상' 받는다 ,http://v.daum.net/v/20260814085259295
5," 88세 현역 감독, 한국영화공로상 품는다 ",http://v.daum.net/v/20260814091850298
6, 이동진의 올해 유일한 '5점 영화'…OTT엔 없고 '여기' 있다[테크로그] ,http://v.daum.net/v/20260814041107404
7," 부산국제영화제, ‘한국영화공로상’ 수상자로 김동호 전 이사장 선정 ",http://v.daum.net/v/20260814084949179
8, 300만 돌파 ‘오디세이’…‘천만영화’ 경로 밟으며 흥행 질주 ,http://v.daum.net/v/20260814091707215
9," 김민희, '♥홍상수' 아들 출산→첫 공식석상 …""2년 쉬다 찍은 영화, 아이와 함께 현장 다녀"" ",http://v.daum.net/v/20260814092904761
10," 김민희, 득남 후 ‘로카르노’서 첫 공식석상…“수유하며 영화 촬영” ",http://v.daum.net/v/20260814090644775
11," ""죽이면 진짜 통쾌할까?""…복수와 행복 사이에 선 '경주기행' [영화있슈] ",http://v.daum.net/v/20260814060200116
12, 중국서 영화황제로 추앙받는 이 배우…한국 건국훈장 받는 이유는 ,http://v.daum.net/v/20260814070305187
13," [IS리뷰] ‘경주기행’, ‘죽이는’ 연기, ‘죽이는’ 영화 [무비로그①] ",http://v.daum.net/v/20260814060200115
14, 혹평 쏟아졌는데…19년 만에 '역주행'→넷플릭스 해외 '2위' 찍고 화제성 씹어먹은 韓 영화 ,http://v.daum.net/v/20260813194513932
15, 놀런 “오디세이는 궁극의 강아지 영화”…각본 가제는 반려견 ‘찰리 이야기’ ,http://v.daum.net/v/20260813160158449
16," 전종서, 액션 사극으로 컴백…영화 ‘도차비’ 캐스팅 확정[공식] ",http://v.daum.net/v/20260813113004569
