query,no,token,pos
경주 여행,1,Pedestrian,SL
경주 여행,1,12,SN
경주 여행,1,합창,NNG
경주 여행,1,연주회,NNG
경주 여행,1,연습,NNG
경주 여행,1,일정,NNG
경주 여행,1,으로,JKB
경주 여행,1,바쁜,VA+ETM
경주 여행,1,아내,NNG
경주 여행,1,빠진,VV+ETM
경주 여행,1,가족,NNG
경주 여행,1,바쁜,VA+ETM
경주 여행,1,스케줄,NNG
경주 여행,1,마치,VV
경주 여행,1,국내,NNG
경주 여행,1,직전,NNG
경주 여행,1,행로,NNG
경주 여행,1,바꿀,VV+ETM
경주 여행,1,편승,NNG
경주 여행,1,수서역,NNP
경주 여행,1,에서,JKB
경주 여행,1,SRT,SL
경주 여행,1,까진,JX+JX
경주 여행,2,경북,NNP
경주 여행,2,천문,NNG
경주 여행,2,기상,NNG
경주 여행,2,관측대,NNG
경주 여행,2,첨성대,NNG
경주 여행,2,일자,NNG
경주 여행,2,2016,SN
경주 여행,2,인원,NNG
경주 여행,2,친구,NNG
경주 여행,2,함께,MAG
경주 여행,2,첨성대,NNG
경주 여행,2,경북,NNP
경주 여행,2,인왕동,NNP
경주 여행,2,839,SN
경주 여행,2,전화,NNG
경주 여행,2,054,SN
경주 여행,2,779,SN
경주 여행,2,8741,SN
경주 여행,2,첨성대,NNG
경주 여행,2,관람료,NNG
경주 여행,2,무료,NNG
경주 여행,2,경북,NNP
경주 여행,2,이야기,NNG
경주 여행,2,첨성대,NNG
경주 여행,2,에서,JKB
경주 여행,2,바라본,VV+ETM
경주 여행,2,대릉원,NNG
경주 여행,2,야경,NNG
경주 여행,3,데이,NNG
경주 여행,3,택시,NNG
경주 여행,3,투어,NNG
경주 여행,3,감사,NNG
경주 여행,3,합니다,XSV+EF
경주 여행,3,구매,NNG
경주 여행,3,https,SL
경주 여행,3,smartstore,SL
경주 여행,3,naver,SL
경주 여행,3,com,SL
경주 여행,3,dptour,SL
경주 여행,3,products,SL
경주 여행,3,5981873243,SN
경주 여행,3,플레이스,NNG
경주 여행,3,데이,NNG
경주 여행,3,택시,NNG
경주 여행,3,투어,NNG
경주 여행,3,돌고래,NNG
경주 여행,3,돌핀,NNG
경주 여행,3,스토어,NNG
경주 여행,3,플레이스,NNG
경주 여행,3,데이,NNG
경주 여행,3,택시,NNG
경주 여행,3,투어,NNG
경주 여행,3,smartstore,SL
경주 여행,3,naver,SL
경주 여행,3,com,SL
경주 여행,4,울산,NNP
경주 여행,4,Part,SL
경주 여행,4,동궁,NNG
경주 여행,4,월지,NNG
경주 여행,4,누리,NNG
경주 여행,4,정원,NNG
경주 여행,4,성호,NNG
경주 여행,4,리조트,NNG
경주 여행,4,장생포,NNG
경주 여행,4,고래,NNG
경주 여행,4,문화,NNG
경주 여행,4,특구,NNP
경주 여행,4,라는,VCP+ETM
경주 여행,4,이름,NNG
경주 여행,4,으로,JKB
경주 여행,4,고래,NNG
경주 여행,4,주제,NNG
경주 여행,4,다채,XR
경주 여행,4,로운,XSA+ETM
경주 여행,4,관광지,NNG
경주 여행,4,형성,NNG
경주 여행,4,는데,EC
경주 여행,4,사실,MAG
경주 여행,4,고래,MAG
경주 여행,4,박물관,NNG
경주 여행,4,이나,JC
경주 여행,4,생태,NNG
경주 여행,4,jinstistory,SL
경주 여행,4,tistory,SL
경주 여행,4,com,SL
경주 여행,4,2023,SN
경주 여행,4,08,SN
경주 여행,4,16,SN
경주 여행,4,국내,NNG
경주 여행,4,울산,NNP
경주 여행,4,Part,SL
경주 여행,5,루비,NNG
경주 여행,5,정원,NNG
경주 여행,5,연휴,NNG
경주 여행,5,에서,JKB
경주 여행,5,시작,NNG
경주 여행,5,세요,EP+EF
경주 여행,5,신청,NNG
경주 여행,5,센터,NNG
경주 여행,5,광활,XR
경주 여행,5,부지,NNG
경주 여행,5,자리,NNG
경주 여행,5,역사,NNG
경주 여행,5,마당,NNG
경주 여행,5,엄청나,VA
경주 여행,5,너른,VA+ETM
경주 여행,5,연휴,NNG
경주 여행,5,계획,NNG
경주 여행,5,계신,VX+ETM
경주 여행,5,KTX,SL
경주 여행,5,이용,NNG
경주 여행,5,어떠,XR
경주 여행,5,신지,JKS+EP+EC
경주 여행,5,Copyright,SL
경주 여행,5,2011,SN
경주 여행,5,루비,NNG
경주 여행,5,All,SL
경주 여행,5,pictures,SL
경주 여행,6,출장,NNG
경주 여행,6,깨끗,XR
경주 여행,6,조식,NNG
경주 여행,6,제공,NNG
경주 여행,6,에이치,NNG
경주 여행,6,비뉴,NNG
경주 여행,6,호텔,NNG
경주 여행,6,불국사,NNP
경주 여행,6,까지,JX
경주 여행,6,도보,NNG
경주 여행,6,15,SN
경주 여행,6,거리,NNG
경주 여행,6,어서,EC
경주 여행,6,피로,NNG
경주 여행,6,조금,NNG
